2022-11-22 19:11:755 INFO  LoggerHelper:53 - scrollToEnd
2022-11-22 19:11:958 INFO  LoggerHelper:57 - setNewsLetter
2022-11-22 19:11:962 INFO  LoggerHelper:64 - implicitWait
2022-11-22 19:11:967 INFO  LoggerHelper:71 - implicitWait
2022-11-22 19:11:61 INFO  LoggerHelper:75 - active
2022-11-22 19:11:442 INFO  LoggerHelper:79 - adminComment
2022-11-22 19:11:471 INFO  LoggerHelper:83 - scrollToTop
2022-11-22 19:11:770 INFO  LoggerHelper:89 - save
2022-11-22 19:11:348 INFO  LoggerHelper:98 - Success Message Confirmed
2022-11-22 19:11:349 INFO  LoggerHelper:103 - user_can_view_confirmation_message
