2022-11-22 19:11:391 INFO  LoggerHelper:53 - scrollToEnd
2022-11-22 19:11:684 INFO  LoggerHelper:57 - setNewsLetter
2022-11-22 19:11:689 INFO  LoggerHelper:64 - implicitWait
2022-11-22 19:11:694 INFO  LoggerHelper:71 - implicitWait
2022-11-22 19:11:813 INFO  LoggerHelper:75 - active
2022-11-22 19:11:02 INFO  LoggerHelper:79 - adminComment
2022-11-22 19:11:34 INFO  LoggerHelper:83 - scrollToTop
2022-11-22 19:11:608 INFO  LoggerHelper:89 - save
2022-11-22 19:11:904 INFO  LoggerHelper:98 - Success Message Confirmed
2022-11-22 19:11:905 INFO  LoggerHelper:103 - user_can_view_confirmation_message
